track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
4fuwadVr6WOQoSydfA3fkR,Tegan and Sara Spotify Pride Intro,Tegan and Sara - Spotify Pride,Various Artists,2017-05-31,14821,0,0.0,0.26,0.528,0.0,0.0824,-11.351,0.0,0.0,0
6rDKnKF7B4knjugixe44M0,Adam Lambert Spotify Pride Intro,Adam Lambert - Spotify Pride,Various Artists,2017-05-31,14750,0,0.0,0.559,0.625,0.0,0.251,-13.931,0.0,0.0,0
51NpP0s1nQLhoqWg49uh35,Kathy Griffin: Intro - #PressPlayForPride,#PressPlayForPride,Various Artists,2016-06-07,14862,0,0.0,0.222,0.475,0.0,0.0645,-12.591,0.0,0.0,0
4ENuIjI1dQOQGYkgIwQgSX,Little Mix Spotify Pride Intro,Little Mix - Spotify Pride,Various Artists,2017-05-31,14500,0,0.0,0.681,0.754,0.0,0.299,-5.05,0.0,0.0,0
5PEcgEP0ldpnP4M3q5YP3T,MNEK: Hey - #PressPlayForPride,#PressPlayForPride,Various Artists,2016-06-07,14787,0,0.0,0.533,0.518,0.0,0.535,-7.904,0.0,0.0,0
6MCm5U1tyfkaQvcGkbw3ov,Olly Alexander from Years & Years on Pride,Years & Years - Spotify Pride,Various Artists,2017-06-02,76000,0,0.722,0.513,0.535,0.0,0.277,-9.352,0.502,103.467,4
77Yx1YG6SVTbsejw1jyAAC,Shura - Intro - #PressPlayForPride,#PressPlayForPride,Various Artists,2016-06-09,14862,0,0.0,0.417,0.41,0.0,0.0599,-13.899,0.0,0.0,0
5jBBOzlULSLS3J1WL646tB,Conchita Wurst Spotify Pride Intro,Conchita Wurst - Spotify Pride,Various Artists,2017-06-01,10127,0,0.0,0.356,0.778,0.0,0.275,-4.016,0.0,0.0,0
3m7V717IKZqZLW5qUIOxdD,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,1973-04-02,431333,62,0.402,0.028,0.552,1.36e-05,0.0929,-10.158,0.0258,145.164,4
2Ekx8lzXbAh5KNyOvmmjH5,Please Please Me - Mono / Remastered,The Beatles 1962 - 1966 (Remastered),The Beatles,1973-04-01,121333,0,0.542,0.628,0.699,0.0,0.053,-5.829,0.0318,138.383,4
2u8yti7fZtXMbwqex7M0DZ,All You Need Is Love - Remastered,Yellow Submarine (Remastered),The Beatles,1969-01-17,231213,0,0.4,0.345,0.463,4.59e-05,0.286,-8.455,0.0288,103.103,4
0MKqeOVdZcUFGJvWpGCKbG,Come Together - Remastered,Abbey Road (Remastered),The Beatles,1969-09-26,259946,0,0.533,0.0302,0.376,0.248,0.0926,-11.913,0.0393,165.007,4
